id,title,link,published,source,query,priority_weight,article_date,prediction_date,fetched_at
29cb0e88748c36e8c5fef36f037cd26196ea98c6dbff86dce4aed72418d5cfb8,FDIC: Imprudent management led to SVB collapse - Lexology,https://news.google.com/rss/articles/CBMihgFBVV95cUxPZHdkQi1ob2o5anJDUGRPb2R2UTRwSlpmaUwzYXRrUGpNQV9XbDJCMEVna29NUzh3Ty1tX2ZMd0hLbnVXa0VlT0JadDRGdmZ6b3NoWl9TTXZ3RlpqeVBhYW54SW5STTVfU3c5V0ZPdnZlYUpXaUpmSVlQcFVURzVxcjNtby01Zw?oc=5,"Mon, 13 Jan 2025 08:00:00 GMT",Lexology,"(""First Republic"" OR ""Silicon Valley Bank"" OR ""Signature Bank"") AND (failure OR crisis OR collapse)",10,2025-01-13,2025-01-14,2026-02-05T16:32:53.683439
2057884705aa391ab54b6c87252c5e0b738ec1d177fc3b5eb262c26ff9bddafb,Two Bank Failures in 2024 - Calculated Risk,https://news.google.com/rss/articles/CBMifkFVX3lxTFAxb0JnWnd4RHlPa0ZlSDc2WFUzVlNWQWxobzBiaGZnSTZkS3BHNnljR3BOOG9LRG9rWWRuS1F2YmxGVDBuUjBzZUVmc2w5dkJQd2lQNUNERHVIYnR4c1VBVm1RZGdNeFQ1LXFlR1RvZEVnWElNS25adjc1WEpKQQ?oc=5,"Tue, 14 Jan 2025 08:00:00 GMT",Calculated Risk,"(""First Republic"" OR ""Silicon Valley Bank"" OR ""Signature Bank"") AND (failure OR crisis OR collapse)",10,2025-01-13,2025-01-14,2026-02-05T16:32:53.683439
a5a38f1050920456dcf732af605544c269e38f12701fef40aeaf8b693798202a,"Scott Demands Biden Administration Regulators Comply with Outstanding Requests for Information - Senate Committee on Banking, Housing, and Urban Affairs (.gov)",https://news.google.com/rss/articles/CBMi2wFBVV95cUxQZzlxV29fbzRRZzdITjlJRlVNRUEwRTZ2ZFNfWEFVRExrZldKdjNWNnJNX3IwcFIxQnhfZEIxVnNqUTdSVG0xazN0VTBjTmZzMVdOSGhpVWZiZTNCTWhhX3U0U1BsemhNS281NmxyTGFFTUo2SVVDV0J2VjFHV2NDaExKajNqMUdqT1RWQjVBQ0FjNFRBVS1iVlFIQWFVS1QzbzJ3Z2VzRDVxcFFBbkxwV3loQlo2X011RzRGV29LcUxXNWdiQTJ6ZzFCOG5vV2RnRElkV1VqY2loNE0?oc=5,"Tue, 14 Jan 2025 08:00:00 GMT","Senate Committee on Banking, Housing, and Urban Affairs (.gov)","(""First Republic"" OR ""Silicon Valley Bank"" OR ""Signature Bank"") AND (failure OR crisis OR collapse)",10,2025-01-13,2025-01-14,2026-02-05T16:32:53.683439
3a78f8c6357d301be51e7a6b4ee0ec9f1b93b34fbde3b3e349301424394530f7,Bank Failures: Over 120 US Banks Failed Since 2012 - Norada Real Estate Investments,https://news.google.com/rss/articles/CBMikgFBVV95cUxNTnd4cGZhejFzdzZxOGxaT2pOdkxOUUoxbnJtQjI3TXB0T21mRTRiX3dtc2dnbDg4TVFpSkZZcWZYWmdnUXoxd1hLRHNlN2hjV1dNR3JUTkRlcmJzd3JPaDNncVkxNlVlYUN6WXg4ZjNGdF9ubUhqRVJ2S193N19sS3FHQnRGaFZBdHJVM0JYY29fUQ?oc=5,"Tue, 14 Jan 2025 08:00:00 GMT",Norada Real Estate Investments,"(""First Republic"" OR ""Silicon Valley Bank"" OR ""Signature Bank"") AND (failure OR crisis OR collapse)",10,2025-01-13,2025-01-14,2026-02-05T16:32:53.683439
f84085e5435519dd0ec7e70b818edc31fac06e14f552f90ad4397fd7993cf834,BofA CEO Brian Moynihan says he won’t roll the dice on Trump’s looser financial regulations - Fortune,https://news.google.com/rss/articles/CBMijAFBVV95cUxQVVlmeHZ3UVBzeXdSaWg0LTZmLWpIZzdGeE5sMzEtQWpsc3JWbzlWT1RscHNIOXBPOS1CbktLVjJmZmdBOGNqTDYzNkczSUNxck9PbE1kNGN4RHRVeUpERF9pX2lRb1NZcWFpMWw0aGRsYVlqUDk1a3pqM3ctaWdGMnFySXE4WmpVX29uTg?oc=5,"Mon, 13 Jan 2025 08:00:00 GMT",Fortune,"(""First Republic"" OR ""Silicon Valley Bank"" OR ""Signature Bank"") AND (failure OR crisis OR collapse)",10,2025-01-13,2025-01-14,2026-02-05T16:32:53.683439
830f2a7e454bc58c863b0b5e919c2e046ada13431930a8c57bfe06226cd9a794,East Bay’s Mechanics Bank retools leadership as it eyes expansion on the Peninsula - The Business Journals,https://news.google.com/rss/articles/CBMipwFBVV95cUxQYmYza3FibDEwZW9CS05FM1VhTWU1aDdabndmSWpsSFhDQTFmZXJDMkpZWHRPQlBuUi00Q0dxM3RRcXpzek93R2xRYUhEbHlTNFlYdGlkNDk5REtzTjVkYXFSc2hza0t0LUwxdXdoVDh6OEV5Qi05MFcwOS1FWDdkUzJVbkZpc1BsMUdsc2NCclJOaG5ySnBXR0R1WjE5VGMyMFBROEIxOA?oc=5,"Mon, 13 Jan 2025 08:00:00 GMT",The Business Journals,"(""First Republic"" OR ""Silicon Valley Bank"" OR ""Signature Bank"") AND (failure OR crisis OR collapse)",10,2025-01-13,2025-01-14,2026-02-05T16:32:53.683439
1618e05fbe64d593a0d94b4a0eca2f5c6953e15b52c2128ec86e532dc73c9063,Circle’s USDC beats Tether USDT in market cap surge during 2024 - TradingView,https://news.google.com/rss/articles/CBMixgFBVV95cUxOc3dQUDI3LURwQ3h6N1BsOUR1NnZlVHZfNzJjbnE2ZkdKLTlHd2h5YXJRSmllNmthWVYwVU1hSFR6MzNMX0d4U1JBbmI3M185a2M5NGItc1duNEV2NEF1dDZmNWdVa3ZNMHdEdXhrYndneFg0RFMwTTRtNHdBVnctamhMVmQ5V2NpLWxXOUw4N2U1bUxSekNHTXg1ckFYVlo4NndvS2RWN1ViV1NxLVNELU85cFM2bzE5SDQ0M296WXdFeWphWXc?oc=5,"Tue, 14 Jan 2025 08:00:00 GMT",TradingView,"(""First Republic"" OR ""Silicon Valley Bank"" OR ""Signature Bank"") AND (failure OR crisis OR collapse)",10,2025-01-13,2025-01-14,2026-02-05T16:32:53.683439
8e7ea4a5f8165136b5c85d888699109a5a64c75376f5637bd81decc86feb3d45,WATCH: Canadian trans athlete complains he’s the one at ‘major disadvantage’ - Western Standard,https://news.google.com/rss/articles/CBMitwFBVV95cUxNZzItOXp3VmtSeEZUSmw4QXRkSnVRRVVDWGo5ancwM1NwMFJKOXcteEZYa2ZLeHlJQjRaYzFiN3BrNGpQSzB3Yld0ZnJ1bzB3OXNUUHlYaUh6MmFueVZGbUtrWW1oQzA3YlZnREIyX0ZWbVRYOW50eVdSX1c2QTdWQlJvRW9UVEN5dGNjaVRSZHNnYTBKTy1qd2hTNFZWLXpyOW4yWHhIQm9yWVFTYnRTR2NobGp2OEnSAcQBQVVfeXFMT3ZWQTRVQXdUNnNwNkxIV1VMNUczYWh1V0JKbVRpSFQ0aE5GLVhTM0JSOEVZS3RINGQ2S1lIZlBaMFlqQkZxcnNVOFhrSEVqT0NTd0tUZVB5d1BuYThjcW4yQm9UTDZ3WFZrXzRaMkd5OWJzZ3JpWS1kdVBpZU83WlNBZnNFN3Rfc2NVYnctVlNOZDUwaWVqOENUcWxwR1JIXy15STJHTW5rOG1qMklzZ2VlR0JsMEZUNFRnUU5wcWZ2NmtDRw?oc=5,"Mon, 13 Jan 2025 08:00:00 GMT",Western Standard,"(""PacWest"" OR ""Western Alliance"" OR ""Zions"" OR ""NYCB"") AND (stress OR concerns OR deposit OR loss)",10,2025-01-13,2025-01-14,2026-02-05T16:32:53.683439
7edd68964395cd14c2982a526a6bd75ab049cec8cdcb3fb007d246278d943c3f,JPMorgan reshuffles Jamie Dimon’s top lieutenants - Financial Times,https://news.google.com/rss/articles/CBMicEFVX3lxTFBoYU1HeVg0bFJCcHhtckV3azFQX2tTWnFqcWltUVFRS3ZoOXBYLVNkQTRpOWt5UXZ4WUdqeEhUbzNWbVdacjM2Y1YxdV9fSnZXSkRVemFWWW5RaEVfeHpVSFlRQk1sWGxlOW5yWm1xTlA?oc=5,"Tue, 14 Jan 2025 08:00:00 GMT",Financial Times,"""regional bank"" AND (deposit OR outflow OR run)",10,2025-01-13,2025-01-14,2026-02-05T16:32:53.683439
3063a4f92f8cb7882e51ff1facfdf585e6ab03f62b5ba90af09fd4f94bb5a394,"Ben Bernanke: Solving a Crisis, Changing the Fed - Federal Reserve Bank of San Francisco",https://news.google.com/rss/articles/CBMivwFBVV95cUxPcEtrV2pWbjBiRHF3MkN6c1VvQ0x3bkNpQlFKLXo0ZTB0ZXZGVjJySVB2V2Zha1hYOV8yVWNwR2ZlTGFtdGNCZHpMOHBBb1FIelpxVU5BcFFmMms3cTNCUENHSmhoXzliWVE5c1k5Y2VULUI3alJYbXpFR0szZmViMVFINC1MU1Q1ZE4wbFVuOGlRelBDVUdmbEZjb25DekVWc19TbUMyVlpqNHdMRDNZTE1XaDZodHMyX1NwV3Vtaw?oc=5,"Mon, 13 Jan 2025 08:00:00 GMT",Federal Reserve Bank of San Francisco,"""Fed emergency"" AND (facility OR liquidity)",10,2025-01-13,2025-01-14,2026-02-05T16:32:53.683439
